file_name,transcription
ARA NORM 00422.wav,وزاره التجارة الأمريكية إنها تعمل عملية مراجعة
ARA NORM 00423.wav,لتاثير التطبيقات اللي ليها صله بخصوص أجانب
ARA NORM 00424.wav,اعلى الامن القومي الامريكي
ARA NORM 00425.wav,وطبعا في مقدمة التطبيقات دي ييجي
ARA NORM 00426.wav,التيك توك
ARA NORM 00427.wav,لحد الوقت المفاوضات بين السلطات
ARA NORM 00428.wav,الأمريكية وتيج توك شغالة
ARA NORM 00429.wav,والبعض شايف انه مش هايبقى فيه مشكلة
ARA NORM 00430.wav,مع التطبيق الصيني لو التزم بالمطالب
ARA NORM 00431.wav,الامريكيه اللي بتسمح للامريكان انهم
ARA NORM 00432.wav,يتاكدوا من ان بيانات المستخدمين بتوعهم
ARA NORM 00433.wav,متامنه كويس
ARA NORM 00434.wav,وفي ناس تانيه شايفه ان مفيش تفاهم
ARA NORM 00435.wav,مع التيك توك ولازم يتحسب
ARA NORM 00436.wav,زي مثلا بريندن كارت المسؤول في هيئه
ARA NORM 00437.wav,الاتصالات الفيدرالية اللي قال في يوليو
ARA NORM 00438.wav,ان لازم ابل وجوجل يحذفوا التطبيق
ARA NORM 00439.wav,من علامه تجربه
ARA NORM 00440.wav,وطبعا التطبيق لو اتحذف من جوجل ستور
ARA NORM 00441.wav,وابستور يبقى كده مات اكلينيكاي
ARA NORM 00442.wav,في حقيقة الأمر أمريكا والصين بيتخانقوا
ARA NORM 00443.wav,وعلى مين يمتلك الادوات اللي بتساهم
ARA NORM 00444.wav,النهارده حرفيا في تشكيل وعي وثقافه
ARA NORM 00445.wav,اجيال كاملة على مستوى العالم
ARA NORM 00446.wav,وهنا فيه نقطة ضروري تاخدوا بالكم منها
ARA NORM 00447.wav,وهي موقف المستخدمين الامريكيين
ARA NORM 00448.wav,من الخناقه دي
ARA NORM 00449.wav,يعني الحكومة الأمريكية مثلا شايفة
ARA NORM 00450.wav,التطبيق ده ممكن يستخدم كاداه تجسس
ARA NORM 00451.wav,تقدر من خلالها الصين توصل لمعلومات
ARA NORM 00452.wav,عن موظفين ومسؤولين في الحكومة
ARA NORM 00453.wav,الامريكيه سواء بشكل مباشر او من
ARA NORM 00454.wav,من خلال اهاليهم خصوصا وان دي
ARA NORM 00455.wav,مش حاجة جديدة على الصين
ARA NORM 00456.wav,في يوليو اللي فات مدير مكتب التحقيقات
ARA NORM 00457.wav,الاتحاد كريستوفر راي وصف التجسس
ARA NORM 00458.wav,الصيني بانه اكبر تهديد طويل الامل
ARA NORM 00459.wav,الاقتصاد الامريكي
ARA NORM 00460.wav,وقال إحنا وصلنا لمرحلة إننا بنفتح
ARA NORM 00461.wav,قضية استخبارات مضادة جديدة متعلقة
ARA NORM 00462.wav,حلو اوي الكلام ده بس هل الشاب الامريكي
ARA NORM 00463.wav,في الموضوع بنفس الطريقة
ARA NORM 00464.wav,باتريك جاكسون كبير مسئولي التكنولوجيا
ARA NORM 00465.wav,في شركه ديسكو نكت انك
ARA NORM 00466.wav,المتخصصه في الامن الصيبراني
ARA NORM 00467.wav,ان في عقبه مهمه بتواجه الاداره الامريكيه
ARA NORM 00468.wav,ان معظم الامريكيين مش شايفين ان
ARA NORM 00469.wav,التيك توك بيشكل خطر امني عليهم
ARA NORM 00470.wav,وبالتالي لو حصل وتم حظر التطبيق هيغضبها
ARA NORM 00471.wav,لأنهم مش مدركين ولا مستوعبين الأضرار
ARA NORM 00472.wav,اللي الحكومه بتحكي فيها
ARA NORM 00473.wav,وغالبا هما شايفينه تطبيق عادي زيه زي
ARA NORM 00474.wav,انستغرام او ساب شاشه
ARA NORM 00475.wav,والنقطه دي تاخدني لسؤال الحلقه
ARA NORM 00476.wav,من وجهه نظرك انت كمستخدم عربي
ARA NORM 00477.wav,يهمه امان بيانات الشخصيه الموجوده
ARA NORM 00478.wav,على التطبيقات اللي بيستخدمها
ARA NORM 00479.wav,هل شايف ان التيك توك الصيني اخطر مثلا
ARA NORM 00480.wav,الفيسبوك الامريكي ولا الاتنين دول
ARA NORM 00481.wav,بالنسبالك زي بعض
ARA NORM 00482.wav,هتابع اجاباتكم في التعليقات
ARA NORM 00483.wav,وفي النهايه ريت لا عجبتك الحلقه دي
ARA NORM 00484.wav,حابب تشوفنا تاني اشترك في القناه
ARA NORM 00485.wav,واستنانا في حلقات جديده باذن الله
ARA NORM 00486.wav,في البداية وقبل أي شيء
ARA NORM 00487.wav,نحب نعبر عن خالص تعزينة لأسر ضحايا الزلزال
ARA NORM 00488.wav,اللي ضرب أجزاء من سوريا وتركيا مؤخرا
ARA NORM 00489.wav,وفي نفس الوقت بنؤكد على تمنيتها
ARA NORM 00490.wav,بالشفاء العاجل للمصابين
ARA NORM 00491.wav,ونجاه وسلامة المفقودين العالقين تحت الأنقاض
ARA NORM 00492.wav,كارثة إنسانية يصعب وصفها في الحقيقة
ARA NORM 00493.wav,او الكلام عنها بشكل عام
ARA NORM 00494.wav,لحد لحظة تصوير الحلقة
ARA NORM 00495.wav,وبكل اسف العدد ده مرشح للزياده
ARA NORM 00496.wav,مع استمرار جهود الانقاذ
ARA NORM 00497.wav,وعمليات رفع الأنقاض
ARA NORM 00498.wav,بعضكم ممكن يتخيل دلوقتي
ARA NORM 00499.wav,ان احنا حنتكلم عن الاضرار
ARA NORM 00500.wav,التوابع الاقتصادية للكارثة دي
ARA NORM 00501.wav,سواء في سوريا أو تركيا
ARA NORM 00502.wav,ولكن في الحقيقه الجزئيه المتعلقه
ARA NORM 00503.wav,بالأضرار الاقتصادية
ARA NORM 00504.wav,هي أدفه ما يمكن مناقشته في الوقت الحالي
ARA NORM 00505.wav,في أسئلة ونقاط تانية لها طابع اقتصادي برضه
ARA NORM 00506.wav,ولكنها اسبأ أولويه
ARA NORM 00507.wav,واهم بكتير ومحتاجه اننا نركز عليها
ARA NORM 00508.wav,علشان نعرف الكارثه دي حصلت ليه
ARA NORM 00509.wav,وإزاي ممكن ماتتكررش بالشكل العنيف ده تاني
ARA NORM 00510.wav,الاسئله من ضمنها مثلا
ARA NORM 00511.wav,السؤال اللي يبدو للوهلة الأولى سؤال ساذج جدا
ARA NORM 00512.wav,واللي بيقول
ARA NORM 00513.wav,هما عشرات الالاف اللي ماتوا لحد دلوقتي
ARA NORM 00514.wav,سواء في سوريا او تركيا ماتوا ازاي
ARA NORM 00515.wav,الاجابه الواضحه والمباشره للسؤال ده
ARA NORM 00516.wav,هي انهم ماتوا بسبب الزلزال
ARA NORM 00517.wav,ولكن في الحقيقة الاجابه دي مش صح
ARA NORM 00518.wav,او غير دقيقه على الاقل
ARA NORM 00519.wav,الزلزال كظاهرة ما بيموتش حد
ARA NORM 00520.wav,هو مجرد هزة أرضية
ARA NORM 00521.wav,مهما بلغت شدتها
ARA NORM 00522.wav,اخرها هتهزك شويه
ARA NORM 00523.wav,مش هاتصيبك غالبا بأي ضرر
ARA NORM 00524.wav,ولكن ده في حالة إنك وقت حدوث الزلزال
ARA NORM 00525.wav,كنت ماشى على الأرض أو موجود في خيمة
ARA NORM 00526.wav,أو عايش في مبنى
ARA NORM 00527.wav,تم إنشاؤه بمعايير علمية
ARA NORM 00528.wav,تخليه قادر على مقاومة الزلازل
ARA NORM 00529.wav,أما بقى لو الزلزال حصل
ARA NORM 00530.wav,وانت موجود تحت سقف مبنى خرساني
ARA NORM 00531.wav,المقاول اللي بناه علشان يوفر مثلا في حديد التسليح
ARA NORM 00532.wav,ملتزمش بأبسط المعايير
ARA NORM 00533.wav,اللي تضمن عدم تضرر المبنى
ARA NORM 00534.wav,أو على الأقل عدم انهياره تماما
ARA NORM 00535.wav,في حالة حدوث هزة عرضية
ARA NORM 00536.wav,فانت غالبا في الحاله دي فرص نجاتك ضعيفه جدا
ARA NORM 00537.wav,وده مع الأسف كان حال كتير من الضحايا
ARA NORM 00538.wav,في سوريا وتركيا
ARA NORM 00539.wav,اللي فقدوا حياتهم
ARA NORM 00540.wav,بسبب انهيار المباني
ARA NORM 00541.wav,اللي كانوا عايشين فيها عليهم
ARA NORM 00542.wav,المباني والمنشآت السكنية خصوصا في تركيا
ARA NORM 00543.wav,كانت بتقعها زي ورق الكوتشينه
ARA NORM 00544.wav,ويمكن أكتر معلومة لفتت نظري في الأرقام المتعلقة
ARA NORM 00545.wav,بكارثة الزلزال
ARA NORM 00546.wav,هي عدد المباني المدمرة تماما
ARA NORM 00547.wav,واللي وصلت في تركيا مثلا
ARA NORM 00548.wav,الرقم ده مثير جدا للاستغراب
ARA NORM 00549.wav,بالنسبالي على الاقل
ARA NORM 00550.wav,لان تركيا سوريا الاتنين
ARA NORM 00551.wav,عندهم اكواد بناء متطوره جدا
ARA NORM 00552.wav,المفروض إنها بتنظم عملية
ARA NORM 00553.wav,لتشييد المنشآت المبنية بالخرسانة المسلحة
ARA NORM 00554.wav,بشكل يخليها قادره على مقاومه الزلازل
ARA NORM 00555.wav,طب إزاي وجود الأكواد دي
ARA NORM 00556.wav,ممكن يتسق مع الاعداد الضخمه
ARA NORM 00557.wav,للمباني اللي نهارت
ARA NORM 00558.wav,بمجرد ما الزلزال حصل
ARA NORM 00559.wav,ده السؤال الصعب اللي هنحاول نجاوب عليه
ARA NORM 00560.wav,في حلقة النهارده
ARA NORM 00561.wav,انا اشرف ابراهيم
ARA NORM 00562.wav,المخب الاقتصادي
ARA NORM 00563.wav,هز منطقة مرمرة
ARA NORM 00564.wav,موجوده في مدينه اسطانبول التركيه
ARA NORM 00565.wav,بعدها بحوالي تلات شهور
ARA NORM 00566.wav,هز مدينة دوسجا التركية
ARA NORM 00567.wav,الناس اللي ماتت دي ماتت ازاي
ARA NORM 00568.wav,باختصار ماتوا تحت أنقاض البيوت والمباني اللي
ARA NORM 00569.wav,انهارت فوقه
ARA NORM 00570.wav,بحسب بيانات وزاره الاشغال العامه التركيه وقتها
ARA NORM 00571.wav,ودي ارقام ضخمه جدا
ARA NORM 00572.wav,بالنسبه لشده الزلازل اللي البلد اتعرضت ليها
ARA NORM 00573.wav,في دول تانية تعرضت لضربات سلسالية أشد من كده
ARA NORM 00574.wav,وأرقام مبانيها المدمرة بالتبعية أعداد الضحايا
ARA NORM 00575.wav,كانت أقل بكتير من كده
ARA NORM 00576.wav,وده طبعا بيطرح التساؤل المنطقي التالي
ARA NORM 00577.wav,ليه المباني دي كلها اتدمرت
ARA NORM 00578.wav,واجابه السؤال ده
ARA NORM 00579.wav,ما كانتش صعبه على المهندسين الاتراك
ARA NORM 00580.wav,اللي كانوا شايفين ان المشكله بوضوح
ARA NORM 00581.wav,هي ضعف وهشاشه المباني التركيه
ARA NORM 00582.wav,واللي تم تشغيلها بدون مرعاه المعايير والشرطات
ARA NORM 00583.wav,الهندسية اللي تخليها قادرة على مقاومة الزلازل
ARA NORM 00584.wav,وتجنب الانهيار التام في حالة وقوع أي هزة أرضية
ARA NORM 00585.wav,ما يعرف باسم كود الزلازل التركي
ARA NORM 00586.wav,اللي بينظم عمليات تشييد مباني الخرسانه المسلحه
ARA NORM 00587.wav,واللي بيوضح ايه بالظبط هي المعايير والاشتراطات
ARA NORM 00588.wav,المهندس والمقاول
ARA NORM 00589.wav,لازم ينتبهوا ليها اثناء عملية البناء
ARA NORM 00590.wav,بحيث يبقى المبنى قادر
ARA NORM 00591.wav,على مقاومة الزلازل لو حصلت
ARA NORM 00592.wav,الكود ده الادراك رجعوا طوروه
ARA NORM 00593.wav,وادخلو عليه تحسينات جديده
ARA NORM 00594.wav,ومن ساعتها ولحد النهارده
ARA NORM 00595.wav,المفروض إن كل مباني الخرسانة المسلحة
ARA NORM 00596.wav,الجديده في تركيا
ARA NORM 00597.wav,مبنية على أساس كود الزلازل التركي
ARA NORM 00598.wav,فالاتنين بيتضمنوا
ARA NORM 00599.wav,مجموعة من
ARA NORM 00600.wav,أعلى المعايير والاشتراطات الهندسية
ARA NORM 00601.wav,اللي اتوصل ليها العالم
ARA NORM 00602.wav,فيما يخص تشييد الأبنية المقاومة للزلازل
ARA NORM 00603.wav,نفس الكلام فيما يخص سوريا
ARA NORM 00604.wav,سوريا اعتمدت الكود العربي السوري
ARA NORM 00605.wav,لتصميم وتنفيذ المنشآت بالخرسانة المسلحة
ARA NORM 00606.wav,الكوت ده ساعتها
ARA NORM 00607.wav,ماكنش فيه اي اشتراطات هندسيه لا
ARA NORM 00608.wav,ليها علاقة بمقامة السلاثه
ARA NORM 00609.wav,ولكن الوضع ده ماستمرش كتير
ARA NORM 00610.wav,نقابة المهندسين السوريين
ARA NORM 00611.wav,في تطوير خريطة المناطق الزلزالية في سوريا
ARA NORM 00612.wav,وعلى هذا الأساس عدلت الكود العربي السوري
ARA NORM 00613.wav,بحيث يتضمن اشتراطات
ARA NORM 00614.wav,لازم المصمم يراعيها
ARA NORM 00615.wav,اثناء تصميم الابنيه والمنشآت
ARA NORM 00616.wav,بحيث تبقى قادره على مقاومه الزلازل
ARA NORM 00617.wav,رجعت عملت ملحق خاص
ARA NORM 00618.wav,بتصميم وتحقيق المباني والمنشات المقامه للزلازل
ARA NORM 00619.wav,في الكود العربي السوري
ARA NORM 00620.wav,اللي كانوا بيشملوا أحدث ما تم التوصل ليه
ARA NORM 00621.wav,في مجال تصميم المباني والمنشآت
ARA NORM 00622.wav,المقاومة للسلاسل
ARA NORM 00623.wav,ده كلام حلو ويفرح أي حد
ARA NORM 00624.wav,اللي يزعل بقى هو إن ده مجرد كلام بس
ARA NORM 00625.wav,مع الاسف في فجوة كبيره ما بين الموجود على الورق
ARA NORM 00626.wav,سواء في كود الزلازل التركي أو كود الزلازل السوري
ARA NORM 00627.wav,وما بين اللي بيتم تنفيذه على أرض الواقع
ARA NORM 00628.wav,في انشطه البناء والتشييد
ARA NORM 00629.wav,نسبة الالتزام بمعايير كود الزلازل ضعيفة جدا
ARA NORM 00630.wav,وعدم الالتزام بده
ARA NORM 00631.wav,نتيجته مع الاسف كانت مميتة
ARA NORM 00632.wav,وده ظهر بوضوح في الزلزال الاخير
ARA NORM 00633.wav,في الساعات الأولى من فجر يوم الاثنين
ARA NORM 00634.wav,هز جنوب تركيا وشمال سوريا
ARA NORM 00635.wav,الزلزال الاقوى في تاريخ تركيا الحديث
ARA NORM 00636.wav,الزلزال ده لأنه حصل الصبح بدري
ARA NORM 00637.wav,الناس كانت نايمة
ARA NORM 00638.wav,وكتير منهم ملحقش يهرب للاسف
ARA NORM 00639.wav,بعد الزلزال ده مهز المنطقه
ARA NORM 00640.wav,حصلت مئات الهزات الارتدادية
ARA NORM 00641.wav,كان من ضمنها هزه عنيفه جدا
ARA NORM 00642.wav,حصلت بعدها بساعات قليلة
ARA NORM 00643.wav,كانت شدتها مقابلة لشدة الزلزال الأول
ARA NORM 00644.wav,علم قياس
ARA NORM 00645.wav,المهم
ARA NORM 00646.wav,العالم كله اتصدم من حجم الدمار اللي حصل
ARA NORM 00647.wav,في المنطقة اللي ضربها الزلزال
ARA NORM 00648.wav,وخصوصا في تركيا
ARA NORM 00649.wav,اللي بتمتلك واحد من ابرز القطاعات العقارية
ARA NORM 00650.wav,العالم
ARA NORM 00651.wav,لو حد ما عندوش فكرة إيه اللي حصل بالظبط
ARA NORM 00652.wav,للوهله الاولى
ARA NORM 00653.wav,ممكن اول ما يشوف الصور
ARA NORM 00654.wav,يتخيل ان المنطقه دي اتضربت بالنووي
ARA NORM 00655.wav,أو بسلاح دمار شامل
ARA NORM 00656.wav,فيه بعض الاحياء في تركيا
ARA NORM 00657.wav,مكنش فيها مبنى واحد سليم
ARA NORM 00658.wav,أكوام متلاصقة من التراب
ARA NORM 00659.wav,تحتها مع الاسف ناس فقدت حياتها
ARA NORM 00660.wav,وناس لسه عايشة
ARA NORM 00661.wav,وقاعدة متحسرة مستنية الي يجي ينقذها
ARA NORM 00662.wav,بحسب اخر كلام سمعناه
ARA NORM 00663.wav,من وزير البيئه والتخطيط العمران
ARA NORM 00664.wav,تركي مرات كروم
ARA NORM 00665.wav,اتدمروا تماما في تركيا
ARA NORM 00666.wav,المباني اللي انهارت دي زي ما قلنا
ARA NORM 00667.wav,هي السبب في وفاة الناس اللي ماتت
ARA NORM 00668.wav,علشان كدا لازم نقف قدام المعلومة دي
ARA NORM 00669.wav,ونسأل السؤال المنطقي التالي
ARA NORM 00670.wav,إزاي المباني دي كلها انهارت
ARA NORM 00671.wav,وإزاي انهارت بالشكل البشع اللي شفناه ده
ARA NORM 00672.wav,واللي بسببه كانت امكانية انقاذ الناس
ARA NORM 00673.wav,بس اللي ملحقتش تهرب صعبه جدا
ARA NORM 00674.wav,هل كود الزلازل التركي فاشل
ARA NORM 00675.wav,والاشتراطات الهندسية الموجودة فيه غير كافية
ARA NORM 00676.wav,اجابه الاسئله دي لا شقيه
ARA NORM 00677.wav,اولا
ARA NORM 00678.wav,أكتر من نص المباني في تركيا
ARA NORM 00679.wav,دي للوهله الاولى تبدو حجه ممتازه جدا
ARA NORM 00680.wav,من ان حد يلومهم النهارده
ARA NORM 00681.wav,ولكن الحجة دي تنهار
ARA NORM 00682.wav,وقدام حقيقة إن تركيا
ARA NORM 00683.wav,بتعتبر واحده من اقدم دول العالم
ARA NORM 00684.wav,اللي عندها كود سلازل
ARA NORM 00685.wav,بيحكم انشطه البناء
ARA NORM 00686.wav,دي هي السنين اللي تركيا اصدرت فيها
ARA NORM 00687.wav,اكواد لأنشطة البناء
ARA NORM 00688.wav,في المناطق المعرضة لخطر الزلازل
ARA NORM 00689.wav,طب ازاي الاكواد دي كلها مامنعتش
ARA NORM 00690.wav,او ما ساهمتش
ARA NORM 00691.wav,في تحجيم انهيار المباني في تركيا
ARA NORM 00692.wav,خلال الزلازل المختلفه من القرن اللي فات
ARA NORM 00693.wav,و لحد النهارده
ARA NORM 00694.wav,ده ياخدنا للشق التاني من اجابه الاسئله اللي ذكرناها
ARA NORM 00695.wav,
ARA NORM 00696.wav,باختصار محدش بيلتزم بالكون لا زمان ولا النهارده
ARA NORM 00697.wav,لا المقاولين بيهتموا بالجود
ARA NORM 00698.wav,اللي فيه اشتراطات لو نفذوها بالحرف
ARA NORM 00699.wav,هيلاقوا نفسهم بيصرفوا كتير
ARA NORM 00700.wav,ولا الزبون بيشغل باله أو بينتبه
ARA NORM 00701.wav,اذا كان المبنى ده مقاوم للزلازل
ARA NORM 00702.wav,مبني وفقا للكود ولا لأ
ARA NORM 00703.wav,ولا الجهات التنظيمية في البلد
ARA NORM 00704.wav,صارمه بشكل كافي
ARA NORM 00705.wav,في ارغام المقاول او المطور
ARA NORM 00706.wav,على الالتزام بالكود
ARA NORM 00707.wav,من الاخر كده
ARA NORM 00708.wav,لا في تنفيذ ولا في رقابة
ARA NORM 00709.wav,ونتيجة عدم الالتزام من ناحية
ARA NORM 00710.wav,والتراخي من ناحية تانية
ARA NORM 00711.wav,كانت المشاهد الصعبة
ARA NORM 00712.wav,اللي كلنا تابعناها وشوفناها على الشاشات
ARA NORM 00713.wav,لانهيار مباني بعضها لسه مبني قريب جدا
ARA NORM 00714.wav,لحد اللحظة اللي احنا بنصور فيها الحلقة
ARA NORM 00715.wav,السلطات التركية
ARA NORM 00716.wav,بتهمه التورط في انشطه البناء المخالف
ARA NORM 00717.wav,في غير المطابق للمواصفات
ARA NORM 00718.wav,عدد من المباني اللي انهارت في الزلزال
ARA NORM 00719.wav,المهم واحد من الناس اللي اتقبض عليهم
ARA NORM 00720.wav,كان مقاول تركي
ARA NORM 00721.wav,اسمه محمد ياشار جوشكور
ARA NORM 00722.wav,المقاول ده اتقبض عليه وهو بيحاول يخرج من تركيا
ARA NORM 00723.wav,عن طريق مطار اسطنبول
ARA NORM 00724.wav,لأنه كان المسؤول عن تشييد مجمع سكني راقي
ARA NORM 00725.wav,في مدينة أنطاكية التركية
ARA NORM 00726.wav,وكان بيتم الترويج ليه
ARA NORM 00727.wav,باعتباره قطعه من الجنه في تركيا
ARA NORM 00728.wav,وبما إن المجمع السكني ده
ARA NORM 00729.wav,لسه مبني قريب
ARA NORM 00730.wav,فكان من المتوقع إنه يكون مراعي في تشييده
ARA NORM 00731.wav,الاشتراطات الخاصه بقود الزلازل التركي
ARA NORM 00732.wav,المجمع ده انهار تماما
ARA NORM 00733.wav,وتسبب في حصار حوالي ألف شخص من سكانه
ARA NORM 00734.wav,تحت الانقاض
ARA NORM 00735.wav,ده حصل رغم إن المجمع ده
ARA NORM 00736.wav,يعني عمره عشر سنين بس
ARA NORM 00737.wav,وفيه مباني أحدث من كده مبنية مثلا
ARA NORM 00738.wav,انهارت هي كمان في الزلزال الأخير
ARA NORM 00739.wav,والكارثة بقى
ARA NORM 00740.wav,هي الطريقة اللي انهارت بيها كتير من المباني دي
ARA NORM 00741.wav,بصوا يا جماعة
ARA NORM 00742.wav,علشان تكونوا معايا في الصوره
ARA NORM 00743.wav,الهدف الرئيسي من الاشتراطات الهندسية الموجودة
ARA NORM 00744.wav,ضمن كود الزلازل في أي بلد
ARA NORM 00745.wav,هو ان المبنى يقاوم الزلزال لو حصل
ARA NORM 00746.wav,ويفضل سليم بدون ما يتعرض لأي أضرار
ARA NORM 00747.wav,لكن حتى لو الزلزال قوي جدا
ARA NORM 00748.wav,والمبنى هيتاثر يعني هيتاثر
ARA NORM 00749.wav,و هيقع مافيش مفر
ARA NORM 00750.wav,فساعتها الاشتراطات والمعايير الهندسية هنا
ARA NORM 00751.wav,بتضمن ان المبنى ما يتطربقش فوق بعضه
ARA NORM 00752.wav,ويتحول لفطيره
ARA NORM 00753.wav,لو لاحظته في مشاهد الانقاض في تركيا
ARA NORM 00754.wav,مباني كتير وهي بتقع
ARA NORM 00755.wav,بتتحول في لحظه لكوم من التراب والحجاره
ARA NORM 00756.wav,ده كان مستحيل يحصل
ARA NORM 00757.wav,لو المباني دي مبنية وفقا لكود الزلازل التركي
ARA NORM 00758.wav,حتى لو السلسال ده شدته  ⁇  على مقياس اختار
ARA NORM 00759.wav,المبنى المطابق للكود
ARA NORM 00760.wav,مايقعش بالشكل ده
ARA NORM 00761.wav,الحاله الوحيده اللي ممكن توصل المبنى للوضع ده
ARA NORM 00762.wav,هي انك تفجره بالجيناميت
ARA NORM 00763.wav,طب أنا ليه بقول إن المبنى
ARA NORM 00764.wav,كان مستحيل يقع بالشكل ده
ARA NORM 00765.wav,هاقولك
ARA NORM 00766.wav,المبنى اللي بيقع في حالة الزلزال
ARA NORM 00767.wav,بيقع نتيجة مزيج من حاجتين
ARA NORM 00768.wav,الأول هو شدة الحمل
ARA NORM 00769.wav,والتاني هو مدى جودة مواد البناء
ARA NORM 00770.wav,الهزه بتاعت الزلزال بتضغط على المبنى
ARA NORM 00771.wav,وبتعمل حمل عليه فبتحركه
ARA NORM 00772.wav,لو المبنى ده متاسس ومتصمم صح وفقا للكود
ARA NORM 00773.wav,هايكون عنده قدره يتحمل الحمل الزايد ده ويمتصه
ARA NORM 00774.wav,بس ده بشرط ان مواد البناء بتاعته
ARA NORM 00775.wav,تكون جودتها مناسبة
ARA NORM 00776.wav,طب الحمل شديد و اكبر من قدره المبنى على التحمل
ARA NORM 00777.wav,في الحاله دي المبنى ممكن يميل او يقع
ARA NORM 00778.wav,ولكن حتى وهو بيميل أو بيقع
ARA NORM 00779.wav,هيكون محافظ بشكل كبير على هيكله الأساس المربع
ARA NORM 00780.wav,اللي عامل زي الصندوق
ARA NORM 00781.wav,واللي هو عبارة عن سقف وجدران وأرضية
ARA NORM 00782.wav,هنلاقي التلاتة دول ماسكين في بعض
ARA NORM 00783.wav,بصلابه لاخر لحظه
ARA NORM 00784.wav,وده بيحمي الناس اللي عايشه جوه الصندوق ده
ARA NORM 00785.wav,طب الصلابة والتماسك دول جايين منين
ARA NORM 00786.wav,باختصار المعايير الهندسية الموجودة ضمن كود الزلازل
ARA NORM 00787.wav,بتشترط مثلا ان زوايا الوحده
ARA NORM 00788.wav,اللي هي مكان تلاقي السقف مع الجدران مع الأرضية
ARA NORM 00789.wav,تكون متاسسه بشكل قوي
ARA NORM 00790.wav,وفيها مثلا كمية معينة من حديد التسليح
ARA NORM 00791.wav,بحيث المبنى مايفكش من بعضه مع اول هزه
ARA NORM 00792.wav,ونلاقى السقف لزق في الارضية
ARA NORM 00793.wav,والناس في النص
ARA NORM 00794.wav,دا مع الأسف اللي حصل في مباني كتير
ARA NORM 00795.wav,في سوريا وتركيا
ARA NORM 00796.wav,بسبب عدم الالتزام بالكود وضعف جودة مواد البناء
ARA NORM 00797.wav,مبنى مثلا مكون من  ⁇  طوابق
ARA NORM 00798.wav,نلاقي السقف بتاع الطبق العاشر
ARA NORM 00799.wav,لازق في عرضيته
ARA NORM 00800.wav,لازق في سقف التاسع
ARA NORM 00801.wav,واللي هو لازق في عرضيته
ARA NORM 00802.wav,وهكذا لحد تحت
ARA NORM 00803.wav,في النهاية تلاقي المبنى عامل زي البنكيك بالظبط
ARA NORM 00804.wav,علشان كدا الجماعة بتوع الزلازل
ARA NORM 00805.wav,بيسموا انهيار المباني بالشكل البشع ده
ARA NORM 00806.wav,مع الأسف إمكانية نجاة الناس في الحالة دي
ARA NORM 00807.wav,بتقل جدا جدا
ARA NORM 00808.wav,هنا بقى فيه سؤال بيطرح نفسه
ARA NORM 00809.wav,هل لو كانت تركيا وسوريا
ARA NORM 00810.wav,التزموا بكود الزلازل بتاعهم
ARA NORM 00811.wav,فيما يخص مباني الخرسانة المسلحة
ARA NORM 00812.wav,كان عدد ضحايا الزلزال العنيف اللي ضربهم ده
ARA NORM 00813.wav,هيكون اقل
ARA NORM 00814.wav,قطعا وبلا شك
ARA NORM 00815.wav,دي نقطه مفيهاش جدال
ARA NORM 00816.wav,والروح بعيد ليه
ARA NORM 00817.wav,هز تشيلي
ARA NORM 00818.wav,وعلى مدار خمس أيام متتالية
ARA NORM 00819.wav,شدة الهز الواحدة منهم
ARA NORM 00820.wav,ده كان تاني أقوى سلسله في تاريخ تشيلي
ARA NORM 00821.wav,وسادس أقوى زلزال يتم تسجيله في العالم ساعتها
ARA NORM 00822.wav,والزلزال ده زي ما أنتم أكيد لاحظتم
ARA NORM 00823.wav,قوته أكبر بدرجة
ARA NORM 00824.wav,من قوه الزلزال اللي ضرب تركيا وسوريا مؤخرا
ARA NORM 00825.wav,خدوا بالكم من حاجه
ARA NORM 00826.wav,اختار مقياس له غيرتني
ARA NORM 00827.wav,اقوى بعشر مرات
ARA NORM 00828.wav,يعني ما تستقلش ابدا
ARA NORM 00829.wav,بفرق الدرجه ده على المقياس ده
ARA NORM 00830.wav,المهم
ARA NORM 00831.wav,تفتكروا الزلزال العنيف ده
ARA NORM 00832.wav,واللي ضرب منطقه في تشيلي
ARA NORM 00833.wav,اتسبب في موت كام واحد هناك
ARA NORM 00834.wav,ده عدد ضحايا الزلزال العنيف ده
ARA NORM 00835.wav,وسر انخفاض عدد ضحايا الزلزال رغم قوته
ARA NORM 00836.wav,واتساع نطاقه
ARA NORM 00837.wav,هو الملف اللي موجود قدامكم على الشاشه ده
ARA NORM 00838.wav,ده كود الزلازل بتشيل
ARA NORM 00839.wav,والحكومه التشيليه حريصه ان كل المباني الجديده
ARA NORM 00840.wav,في البلد المبنية بالخرسانة المسلحة تلتزم بيه
ARA NORM 00841.wav,ودرجة التزام المعاولين والمطورين
ARA NORM 00842.wav,بالكوت ده عاليه في تشيلي
ARA NORM 00843.wav,لأن فيه رقابة حكومية مشددة
ARA NORM 00844.wav,علشان كدا أنا بأكد إن الالتزام بكود الزلازل
ARA NORM 00845.wav,كان ممكن ينقذ أرواح كتير خصوصا في تركيا
ARA NORM 00846.wav,طب اشمعنى تركيا
ARA NORM 00847.wav,السؤال ده ياخدنا لملاحظة مهمة جدا
ARA NORM 00848.wav,تخص الزلزال اللي ضرب تركيا وسوريا
ARA NORM 00849.wav,معظمكم بيبصلها طول الوقت
